name_id,name,serving_size,calories,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,food_type,source
ABC Sari Kacang Hijau,ABC Sari Kacang Hijau,2 g,160.0,2.0,36.0,0.0,0.0,0.0,0.0,base_food,nilai-gizi.csv
"Ale, toge, tauge, kecambah, segar","Ale, toge, tauge, kecambah, segar",0.70 g,37.0,4.4,3.8,0.5,0.0,2.0,1.7,base_food,nilai-gizi.csv
Alpukat segar,Alpukat segar,1 porsi,85.0,0.9,7.7,6.5,0.0,0.0,0.0,base_food,nutrition.csv
Ampas kacang hijau,Ampas kacang hijau,0.60 g,96.0,3.7,19.1,0.6,0.0,0.0,2.7,base_food,nilai-gizi.csv
Ampas tahu kukus,Ampas tahu kukus,0.60 g,75.0,4.1,10.7,2.1,0.0,0.0,5.1,base_food,nilai-gizi.csv
Anggur,Wine,0.07 g,83.0,0.07,2.72,0.0,0.0,0.0,0.0,base_food,nilai-gizi.csv
Anggur hutan segar,Anggur hutan segar,1 porsi,30.0,0.5,6.8,0.2,0.0,0.0,0.0,base_food,nutrition.csv
"Anggur hutan, segar","Anggur hutan, segar",0.20 g,30.0,0.5,6.8,0.2,0.0,0.0,1.2,base_food,nilai-gizi.csv
Apel,Apel,1 porsi,58.0,0.3,14.9,0.4,0.0,0.0,0.0,base_food,nutrition.csv
Apel malang segar,Apel malang segar,1 porsi,57.0,0.5,12.8,0.4,0.0,0.0,0.0,base_food,nutrition.csv
"Apel malang, segar","Apel malang, segar",0.30 g,57.0,0.5,12.8,0.4,0.0,3.6,0.8,base_food,nilai-gizi.csv
Batatas tali ubi rebus,Batatas tali ubi rebus,1 porsi,182.0,2.4,42.2,0.4,0.0,0.0,0.0,base_food,nutrition.csv
Bayam kukus,Bayam kukus,1.60 g,30.0,1.3,5.8,0.7,0.0,15.0,1.2,base_food,nilai-gizi.csv
Bayam rebus,Bayam rebus,1 g,23.0,1.2,3.7,0.6,0.0,16.0,1.1,base_food,nilai-gizi.csv
Belimbing,Belimbing,1 porsi,36.0,0.4,8.8,0.4,0.0,0.0,0.0,base_food,nutrition.csv
"Belimbing, segar","Belimbing, segar",0.40 g,36.0,0.4,8.8,0.4,0.0,4.0,3.2,base_food,nilai-gizi.csv
Beras Ketan Hitam,Beras Ketan Hitam,1 porsi,356.0,7.0,78.0,0.7,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Hitam kukus,Beras Ketan Hitam kukus,1 porsi,181.0,4.0,37.3,1.2,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Hitam tape,Beras Ketan Hitam tape,1 porsi,166.0,3.8,34.4,1.0,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Hitam tumbuk,Beras Ketan Hitam tumbuk,1 porsi,360.0,8.0,74.5,2.3,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Putih,Beras Ketan Putih,1 porsi,362.0,6.7,79.4,0.7,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Putih kukus,Beras Ketan Putih kukus,1 porsi,163.0,3.0,35.7,0.4,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Putih tape,Beras Ketan Putih tape,1 porsi,172.0,3.0,37.5,0.5,0.0,0.0,0.0,base_food,nutrition.csv
Beras Ketan Putih tumbuk,Beras Ketan Putih tumbuk,1 porsi,361.0,7.4,78.4,0.8,0.0,0.0,0.0,base_food,nutrition.csv
"Beras ketan hitam tumbuk, mentah","Beras ketan hitam tumbuk, mentah",1.50 g,360.0,8.0,74.5,2.3,0.0,11.0,1.0,base_food,nilai-gizi.csv
"Beras ketan putih tumbuk, mentah","Beras ketan putih tumbuk, mentah",0.50 g,361.0,7.4,78.4,0.8,0.0,3.0,0.4,base_food,nilai-gizi.csv
Biji Jambu Mete,Biji Jambu Mete,1 porsi,562.0,21.2,23.6,49.6,0.0,0.0,0.0,base_food,nutrition.csv
Biji Jambu Mete goreng,Biji Jambu Mete goreng,1 porsi,629.0,21.5,19.8,56.6,0.0,0.0,0.0,base_food,nutrition.csv
Biji nangka / Biji salak,Biji nangka / Biji salak,0.70 g,262.0,2.3,51.1,5.4,0.0,10.0,8.0,base_food,nilai-gizi.csv
Biji nangka/Biji salak,Biji nangka/Biji salak,1 porsi,262.0,2.3,51.1,5.4,0.0,0.0,0.0,base_food,nutrition.csv
Bonggol Pisang,Bonggol Pisang,1 porsi,43.0,2.6,11.6,0.0,0.0,0.0,0.0,base_food,nutrition.csv
Bonggol Pisang kering,Bonggol Pisang kering,1 porsi,245.0,3.4,66.2,0.0,0.0,0.0,0.0,base_food,nutrition.csv
Buah Atung,Buah Atung,1 porsi,23.0,0.8,5.2,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Buah Mentega (bisbul),Buah Mentega (bisbul),1 porsi,39.0,0.7,9.7,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Buah Naga Merah segar,Buah Naga Merah segar,1 porsi,71.0,1.7,9.1,3.1,0.0,0.0,0.0,base_food,nutrition.csv
Buah Naga Putih segar,Buah Naga Putih segar,1 porsi,56.0,0.8,10.9,1.0,0.0,0.0,0.0,base_food,nutrition.csv
Buah Nona,Buah Nona,1 porsi,101.0,1.7,25.2,0.6,0.0,0.0,0.0,base_food,nutrition.csv
"Buah atung, segar","Buah atung, segar",1.80 g,23.0,0.8,5.2,0.2,0.0,0.0,0.0,base_food,nilai-gizi.csv
Buah kelenting segar,Buah kelenting segar,1 porsi,110.0,1.4,21.4,2.1,0.0,0.0,0.0,base_food,nutrition.csv
"Buah kelenting, segar","Buah kelenting, segar",1.20 g,110.0,1.4,21.4,2.1,0.0,2.0,0.0,base_food,nilai-gizi.csv
Buah kelor,Buah kelor,1.30 g,38.0,1.5,7.5,0.2,0.0,48.0,3.2,base_food,nilai-gizi.csv
Buah kom segar,Buah kom segar,1 porsi,264.0,4.0,59.6,1.1,0.0,0.0,0.0,base_food,nutrition.csv
"Buah kom, segar","Buah kom, segar",1.70 g,264.0,4.0,59.6,1.1,0.0,0.0,9.0,base_food,nilai-gizi.csv
"Buah mentega (Bisbul), segar","Buah mentega (Bisbul), segar",0.40 g,39.0,0.7,9.7,0.2,0.0,1.0,2.0,base_food,nilai-gizi.csv
Buah merah,Buah merah,0.40 g,87.0,2.6,13.1,2.7,0.0,110.0,4.0,base_food,nilai-gizi.csv
"Buah naga merah, segar","Buah naga merah, segar",0.40 g,71.0,1.7,9.1,3.1,0.0,10.0,3.2,base_food,nilai-gizi.csv
"Buah naga putih, segar","Buah naga putih, segar",0.60 g,56.0,0.8,10.9,1.0,0.0,7.0,3.2,base_food,nilai-gizi.csv
Buah negri segar,Buah negri segar,1 porsi,55.0,1.2,12.2,0.1,0.0,0.0,0.0,base_food,nutrition.csv
"Buah negri, segar","Buah negri, segar",0.80 g,55.0,1.2,12.2,0.1,0.0,10.0,5.2,base_food,nilai-gizi.csv
"Buah nona, segar","Buah nona, segar",1 g,101.0,1.7,25.2,0.6,0.0,5.0,2.8,base_food,nilai-gizi.csv
Buah rotan segar,Buah rotan segar,1 porsi,78.0,0.6,18.2,0.3,0.0,0.0,0.0,base_food,nutrition.csv
Buah rukam segar,Buah rukam segar,1 porsi,113.0,0.8,26.8,0.3,0.0,0.0,0.0,base_food,nutrition.csv
"Buah rukam, segar","Buah rukam, segar",0.80 g,113.0,0.8,26.8,0.3,0.0,2.0,7.7,base_food,nilai-gizi.csv
Buah ruruhi segar,Buah ruruhi segar,1 porsi,29.0,2.1,3.6,0.7,0.0,0.0,0.0,base_food,nutrition.csv
Buah tuppa segar,Buah tuppa segar,1 porsi,67.0,0.4,15.9,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Buncis rebus,Buncis rebus,1 porsi,30.0,2.2,6.4,0.2,0.0,0.0,0.0,base_food,nutrition.csv
Bunga pepaya segar,Bunga pepaya segar,1 porsi,45.0,2.6,8.1,0.3,0.0,0.0,0.0,base_food,nutrition.csv
"Bunga pepaya, segar","Bunga pepaya, segar",1.70 g,45.0,2.6,8.1,0.3,0.0,2.0,1.6,base_food,nilai-gizi.csv
Bungkil Kacang Tanah,Bungkil Kacang Tanah,1 porsi,336.0,37.4,30.5,13.0,0.0,0.0,0.0,base_food,nutrition.csv
Bungkil kacang tanah,Bungkil kacang tanah,33.10 g,336.0,37.4,30.5,13.0,0.0,0.0,0.0,base_food,nilai-gizi.csv
