name,name_id,serving_size,calories,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,food_type,source
Dada Ayam Rebus,Dada Ayam Rebus,100 g,120.0,25.0,0.0,2.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Kukus,Dada Ayam Kukus,100 g,126.0,25.5,0.0,2.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Bakar,Dada Ayam Bakar,100 g,138.0,26.2,0.0,3.0,0.0,50,0.0,base_food,generated-v2
Dada Ayam Goreng,Dada Ayam Goreng,100 g,216.0,21.2,0.0,10.0,0.0,50,0.0,base_food,generated-v2
Dada Ayam Tumis,Dada Ayam Tumis,100 g,180.0,22.5,0.0,7.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Panggang,Dada Ayam Panggang,100 g,144.0,27.0,0.0,3.2,0.0,50,0.0,base_food,generated-v2
Dada Ayam Pepes,Dada Ayam Pepes,100 g,132.0,26.2,0.0,2.8,0.0,50,0.0,base_food,generated-v2
Dada Ayam Bacem,Dada Ayam Bacem,100 g,156.0,22.5,0.0,2.8,0.0,50,0.0,base_food,generated-v2
Dada Ayam Balado,Dada Ayam Balado,100 g,168.0,23.0,0.0,6.2,0.0,50,0.0,base_food,generated-v2
Dada Ayam Rica-Rica,Dada Ayam Rica-Rica,100 g,162.0,23.2,0.0,5.8,0.0,50,0.0,base_food,generated-v2
Dada Ayam Kecap,Dada Ayam Kecap,100 g,156.0,23.8,0.0,3.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Semur,Dada Ayam Semur,100 g,162.0,23.2,0.0,4.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Opor,Dada Ayam Opor,100 g,174.0,22.5,0.0,7.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Gulai,Dada Ayam Gulai,100 g,180.0,22.0,0.0,8.8,0.0,50,0.0,base_food,generated-v2
Dada Ayam Kari,Dada Ayam Kari,100 g,174.0,22.5,0.0,8.0,0.0,50,0.0,base_food,generated-v2
Dada Ayam Asam Manis,Dada Ayam Asam Manis,100 g,150.0,23.8,0.0,3.8,0.0,50,0.0,base_food,generated-v2
Dada Ayam Saus Tiram,Dada Ayam Saus Tiram,100 g,156.0,25.0,0.0,4.0,0.0,50,0.0,base_food,generated-v2
Dada Ayam Lada Hitam,Dada Ayam Lada Hitam,100 g,150.0,25.0,0.0,4.5,0.0,50,0.0,base_food,generated-v2
Dada Ayam Tepung Goreng,Dada Ayam Tepung Goreng,100 g,240.0,20.0,0.0,12.5,0.0,50,0.0,base_food,generated-v2
Paha Ayam Rebus,Paha Ayam Rebus,100 g,145.0,20.0,0.0,7.0,0.0,65,0.0,base_food,generated-v2
Paha Ayam Kukus,Paha Ayam Kukus,100 g,152.2,20.4,0.0,7.0,0.0,65,0.0,base_food,generated-v2
Paha Ayam Bakar,Paha Ayam Bakar,100 g,166.8,21.0,0.0,8.4,0.0,65,0.0,base_food,generated-v2
Paha Ayam Goreng,Paha Ayam Goreng,100 g,261.0,17.0,0.0,28.0,0.0,65,0.0,base_food,generated-v2
Paha Ayam Tumis,Paha Ayam Tumis,100 g,217.5,18.0,0.0,21.0,0.0,65,0.0,base_food,generated-v2
Paha Ayam Panggang,Paha Ayam Panggang,100 g,174.0,21.6,0.0,9.1,0.0,65,0.0,base_food,generated-v2
Paha Ayam Pepes,Paha Ayam Pepes,100 g,159.5,21.0,0.0,7.7,0.0,65,0.0,base_food,generated-v2
Paha Ayam Bacem,Paha Ayam Bacem,100 g,188.5,18.0,0.0,7.7,0.0,65,0.0,base_food,generated-v2
Paha Ayam Balado,Paha Ayam Balado,100 g,203.0,18.4,0.0,17.5,0.0,65,0.0,base_food,generated-v2
Paha Ayam Rica-Rica,Paha Ayam Rica-Rica,100 g,195.8,18.6,0.0,16.1,0.0,65,0.0,base_food,generated-v2
Paha Ayam Kecap,Paha Ayam Kecap,100 g,188.5,19.0,0.0,9.8,0.0,65,0.0,base_food,generated-v2
Paha Ayam Semur,Paha Ayam Semur,100 g,195.8,18.6,0.0,12.6,0.0,65,0.0,base_food,generated-v2
Paha Ayam Opor,Paha Ayam Opor,100 g,210.2,18.0,0.0,21.0,0.0,65,0.0,base_food,generated-v2
Paha Ayam Gulai,Paha Ayam Gulai,100 g,217.5,17.6,0.0,24.5,0.0,65,0.0,base_food,generated-v2
Paha Ayam Kari,Paha Ayam Kari,100 g,210.2,18.0,0.0,22.4,0.0,65,0.0,base_food,generated-v2
Paha Ayam Asam Manis,Paha Ayam Asam Manis,100 g,181.2,19.0,0.0,10.5,0.0,65,0.0,base_food,generated-v2
